0003,Auto Posto Vila Antonio Ltda
0068,Agro Pecuaria Quantro A Limitada
0089,AVM Auto Equipamentos
0124,Mavitec Servicos S/C Ltda
0136,Nobelplast Embalagens
0138,Nel Administradora de Bens & Participacoes Ltda
0140,Coml. Prod. Hortifr. Oliveira & Silva Ltda
0143,Open Door Moveis para Escritorio Ltda
0146,Doce Delleite Comercio Ltda
0177,Clearpack do Brasil Embalagens Ltda
0178,Net Ralo Telecom. de Dados e Software Ltda
0284,Ace Engenharia e Construcoes Ltda
0332,Marcenaria e Carpintaria Bristol Ltda
0337,Misura Servicos, Montagem E Carpintaria Ltda.
0338,Movestrutura Comercio e Servico de Moveis Ltda
0361,LD Engenharia Ltda
0367,Camargo Penteado Engenharia Ltda.
0388,APCP Engenharia Ltda
0418,Emco Administracao Ltda
0419,Irrigotec Irrig. por Gotejamento Ltda
0424,Soracy de Comunicacao Ltda
0441,Consult Engenharia Ltda
0458,Marquez Piza Serviços Ltda
0511,M Miraglia Coord. de Ativ. Ind. Ltda
0513,Oficina de Artes Producoes Ltda
0529,Ms Gomes Servicos de Orcamento Ltda
0537,Evandro Taddei Neto
0550,M. Halluli Interiores S/c Ltda
0551,Alexandre Gagliano de Freitas
0557,R Moraes Consultoria e Treinamento Ltda.
0607,Corretora de Seguros Elposs Ltda
0610,Rotary Clube de Sao Paulo - Butanta
0614,VP Representacoes Comerciais Ltda
0616,Net Access Com.e Servs.em Tel.e Inf Ltda
0622,Costa Mendes Servicos de Auxilio Empresarial Ltda
0625,Quatro A Empreendimentos Imobiliarios Ltda
0634,Rodrigues Ribeiro Engenharia e Consultoria Ltda.
0657,Plastcone Industria e Comercio de Embalagens Ltda
0658,Kassia Regina Cardoso
0663,Nobelpack Embalagens e Logistica Ltda.
0674,Moura Silva Representacoes Comerciais Ltda.
0689,Reginaldo de Jesus Lopes
0697,Dscon Solucoes Tecnologicas Ltda.
0711,MV Arquitetura e Midias Graficas Ltda.
0727,CRP - Assessoria Administrativa Ltda.
0738,Sypaba Empreendimentos Limitada.
0746,Classica Design Do Brasil Objetos De Arte Ltda
0747,Zilando Gagliano de Freitas
0758,Nest Consultoria Empresarial Ltda
0791,Idely Stancato
0816,Business Intelligence Desenvolvimento de Embalagens Ltda.
0818,Assoc. de Apoio a Crianca e Adoles. com Cancer - Anjo de Luz
0823,Adriana Sao Severo de Arruda
0826,Guilherme Augusto Lemelle Correa
0829,Flavio Correia Martins
0832,Cidade Jardim Design Ltda.
0833,Dalton Dynamics Quimica Industrial Ltda
0834,Uptec Brasil Tratamento de Superficies de Pecas Ltda
0841,Ers Tecnologia Ltda.
0844,Saralei Access S/s Ltda
0851,Promielt Engenharia Ltda
0854,Promielt Construtora Ltda
0856,Aguia Dourada Assessoria, Coaching e Treinamentos Ltda.
0857,Mulheres Prosperas Empreendimentos Imobiliarios Ltda.
0861,Dalton Dynamics Internacional Ltda
0862,L Menezes Organizacao e Coordenacao de Festas e Eventos Ltda
0866,Eunice de Oliveira Arribas Puerto
0867,RGL Administracao de Bens e Participacoes Ltda.
0874,Alexandra Carlier Arquitetura
0895,Quatrinvest Administradora de Recursos Ltda.
0896,Carg Comercio E Servicos De Manutencao E Reparacao Ltda
0897,C.D.S. Rodrigues Oculos

1986,Copperaf Materia Prima
2105,Nova Affinity Corretora de Seguros
2150,Shock Metais Nao Ferrosos
